loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose
25000,25000,25000,36 months,0.0646,765.77,A,A1,Mgr,10+ years,OWN,100000,Not Verified,Dec-18,Current,n,debt_consolidation
5000,5000,5000,36 months,0.0756,155.67,A,A3,Housekeeping Supervisor,5 years,RENT,34000,Verified,Dec-18,Current,n,debt_consolidation
4000,4000,4000,36 months,0.1033,129.69,B,B1,MEAT CLERK,7 years,RENT,30000,Source Verified,Dec-18,Current,n,debt_consolidation
7650,7650,7650,36 months,0.0819,240.4,A,A4,Ophthalmic Technician ,3 years,RENT,29000,Not Verified,Dec-18,Current,n,debt_consolidation
6000,6000,6000,36 months,0.1298,202.11,B,B5,pricing project coordinator,< 1 year,RENT,43000,Not Verified,Dec-18,Current,n,credit_card
15000,15000,15000,36 months,0.0819,471.37,A,A4,program analyst,10+ years,MORTGAGE,95000,Source Verified,Dec-18,Current,n,debt_consolidation
3000,3000,3000,36 months,0.0819,94.28,A,A4,Laundry Attendant II,10+ years,RENT,36000,Source Verified,Dec-18,Current,n,major_purchase
10000,10000,10000,36 months,0.0819,314.25,A,A4,,n/a,MORTGAGE,58000,Not Verified,Dec-18,Current,n,credit_card
12000,12000,12000,36 months,0.1447,412.88,C,C2,,n/a,RENT,50097,Not Verified,Dec-18,Current,n,debt_consolidation
25000,25000,25000,60 months,0.0819,509.19,A,A4,Design Manager,10+ years,RENT,110000,Not Verified,Dec-18,Current,n,credit_card
7000,7000,7000,36 months,0.1131,230.21,B,B3,Managing Director of Museum Stores,4 years,MORTGAGE,43000,Not Verified,Dec-18,Current,n,debt_consolidation
6500,6500,6500,36 months,0.0756,202.37,A,A3,clerk,10+ years,MORTGAGE,67000,Not Verified,Dec-18,Current,n,home_improvement
30000,30000,30000,36 months,0.1131,986.58,B,B3,Finance Branch Chief ,5 years,MORTGAGE,190000,Verified,Dec-18,Current,n,credit_card
22400,22400,22400,36 months,0.0881,710.34,A,A5,Logistics Manager,10+ years,MORTGAGE,95000,Source Verified,Dec-18,Current,n,debt_consolidation
20000,20000,20000,60 months,0.1614,487.86,C,C4,Bus Driver,4 years,MORTGAGE,59000,Not Verified,Dec-18,Current,n,debt_consolidation
40000,40000,40000,36 months,0.1072,1304.26,B,B2,Auto Hauler/Professional Driver,4 years,MORTGAGE,111000,Not Verified,Dec-18,Current,n,debt_consolidation
20500,20500,20500,36 months,0.1072,668.43,B,B2,Logistics,2 years,RENT,85000,Source Verified,Dec-18,Current,n,debt_consolidation
4500,4500,4475,36 months,0.1298,151.58,B,B5,Food & Human safety coordinator ,10+ years,MORTGAGE,53000,Verified,Dec-18,Current,n,house
10000,10000,10000,36 months,0.2089,376.19,D,D4,Associate ,4 years,MORTGAGE,42000,Source Verified,Dec-18,Current,n,debt_consolidation
9600,9600,9600,36 months,0.0646,294.06,A,A1,Director of Quality,10+ years,MORTGAGE,130000,Not Verified,Dec-18,Current,n,debt_consolidation
12500,12500,12500,60 months,0.1992,330.62,D,D3,Account Executive,2 years,MORTGAGE,98000,Source Verified,Dec-18,Current,n,credit_card
35000,35000,35000,36 months,0.1298,1178.96,B,B5,Physician ,8 years,MORTGAGE,385000,Source Verified,Dec-18,Current,n,debt_consolidation
40000,40000,40000,60 months,0.1502,952.02,C,C3,Technical Specialist,9 years,RENT,120000,Source Verified,Dec-18,Current,n,debt_consolidation
12000,12000,12000,36 months,0.0881,380.54,A,A5,Account Manager,3 years,RENT,49000,Not Verified,Dec-18,Current,n,debt_consolidation
5000,5000,5000,36 months,0.0646,153.16,A,A1,LPN Nurse,1 year,MORTGAGE,50000,Not Verified,Dec-18,Current,n,credit_card
15000,15000,15000,36 months,0.1502,520.13,C,C3,Pharmacy technician,5 years,RENT,28000,Source Verified,Dec-18,Current,n,credit_card
35000,35000,35000,60 months,0.0819,712.87,A,A4,Nursing Lab Technician,2 years,MORTGAGE,190000,Source Verified,Dec-18,Current,n,credit_card
10000,10000,10000,36 months,0.0646,306.31,A,A1,Supervisor ,10+ years,MORTGAGE,115000,Not Verified,Dec-18,Current,n,debt_consolidation
30000,30000,30000,36 months,0.1614,1056.79,C,C4,,< 1 year,MORTGAGE,90000,Not Verified,Dec-18,Current,n,small_business
16000,16000,16000,36 months,0.1298,538.95,B,B5,Bricklayer,3 years,MORTGAGE,90000,Not Verified,Dec-18,Current,n,credit_card
19000,19000,19000,36 months,0.0646,581.99,A,A1,Truck Driver,10+ years,MORTGAGE,75000,Not Verified,Dec-18,Current,n,credit_card
7200,7200,7200,36 months,0.0646,220.55,A,A1,Production Supervisor,2 years,MORTGAGE,52000,Not Verified,Dec-18,Current,n,debt_consolidation
6500,6500,6500,36 months,0.1033,210.75,B,B1,Machine Operator,10+ years,MORTGAGE,85000,Not Verified,Dec-18,Current,n,debt_consolidation
14000,14000,14000,36 months,0.0702,432.41,A,A2,Executive,10+ years,MORTGAGE,120000,Source Verified,Dec-18,Current,n,home_improvement
5300,5300,5300,36 months,0.1072,172.82,B,B2,Line Lead,10+ years,MORTGAGE,26000,Not Verified,Dec-18,Current,n,debt_consolidation
40000,40000,40000,36 months,0.1180,1324.76,B,B4,Teacher,8 years,RENT,120000,Source Verified,Dec-18,Current,n,credit_card
5600,5600,5600,36 months,0.0646,171.54,A,A1,Customer Service Manager,9 years,RENT,37500,Not Verified,Dec-18,Current,n,debt_consolidation
10000,10000,10000,36 months,0.0702,308.87,A,A2,Senior proposal mamager,5 years,OWN,107000,Not Verified,Dec-18,Current,n,debt_consolidation
11200,11200,11175,60 months,0.1072,241.96,B,B2,laundry supervisor ,10+ years,MORTGAGE,50000,Not Verified,Dec-18,Current,n,debt_consolidation
13000,13000,13000,36 months,0.0646,398.21,A,A1,Marketing Director,4 years,MORTGAGE,89000,Source Verified,Dec-18,Current,n,credit_card
36000,36000,36000,60 months,0.1072,777.71,B,B2,Business Relationship Manager,8 years,RENT,90000,Source Verified,Dec-18,Current,n,moving
10000,10000,10000,60 months,0.1356,230.41,C,C1,Biller,1 year,RENT,40000,Source Verified,Dec-18,Current,n,credit_card
12700,12700,12700,60 months,0.1180,281.23,B,B4,Warehouse,10+ years,MORTGAGE,60000,Not Verified,Dec-18,Current,n,debt_consolidation
10000,10000,10000,36 months,0.0756,311.34,A,A3,Director,5 years,MORTGAGE,125000,Not Verified,Dec-18,Current,n,debt_consolidation
11000,11000,11000,36 months,0.0881,348.83,A,A5,private client banker,3 years,RENT,75000,Not Verified,Dec-18,Current,n,debt_consolidation
12500,12500,12500,60 months,0.1797,317.22,D,D1,Police Officer,1 year,RENT,68000,Source Verified,Dec-18,Current,n,credit_card
15000,15000,15000,60 months,0.1298,341.15,B,B5,Enrollment Coordinator,6 years,RENT,61000,Source Verified,Dec-18,Current,n,debt_consolidation
15000,15000,15000,36 months,0.0881,475.68,A,A5,Sales Consultant,5 years,RENT,60000,Source Verified,Dec-18,Current,n,debt_consolidation
15000,15000,15000,36 months,0.0702,463.3,A,A2,Arbitration supervisor ,3 years,OWN,125000,Not Verified,Dec-18,Current,n,debt_consolidation
7500,7500,7500,36 months,0.1072,244.55,B,B2,Quality Engineer,1 year,RENT,57000,Source Verified,Dec-18,Current,n,credit_card
20000,20000,20000,36 months,0.1502,693.51,C,C3,teacher,10+ years,MORTGAGE,102000,Not Verified,Dec-18,Current,n,debt_consolidation
20000,20000,20000,36 months,0.1447,688.13,C,C2,Sustainability Projects Specialist ,< 1 year,RENT,114000,Not Verified,Dec-18,Current,n,debt_consolidation
7000,7000,7000,36 months,0.1894,256.38,D,D2,Supervisory Management Analyst,6 years,OWN,98000,Not Verified,Dec-18,Current,n,debt_consolidation
8000,8000,8000,36 months,0.1180,264.96,B,B4,Manager ,2 years,RENT,22000,Not Verified,Dec-18,Current,n,credit_card
25000,25000,25000,36 months,0.1180,827.98,B,B4,,< 1 year,RENT,160000,Not Verified,Dec-18,Current,n,credit_card
6000,6000,6000,36 months,0.0819,188.55,A,A4,Teacher,10+ years,MORTGAGE,69000,Source Verified,Dec-18,Current,n,debt_consolidation
12000,12000,12000,36 months,0.0819,377.09,A,A4,sales Representative ,4 years,MORTGAGE,60000,Not Verified,Dec-18,Current,n,credit_card
40000,40000,40000,60 months,0.1180,885.75,B,B4,,n/a,RENT,223000,Not Verified,Dec-18,Current,n,other
10000,10000,10000,36 months,0.1180,331.19,B,B4,Director of Maintenance ,1 year,RENT,100000,Source Verified,Dec-18,Fully Paid,n,debt_consolidation
6000,6000,5975,36 months,0.1298,202.11,B,B5,cook,1 year,RENT,29159,Source Verified,Dec-18,Current,n,debt_consolidation
15000,15000,15000,36 months,0.0756,467.01,A,A3,Software Engineer,< 1 year,MORTGAGE,148000,Not Verified,Dec-18,Current,n,debt_consolidation
15000,15000,15000,60 months,0.1180,332.16,B,B4,Inspector,10+ years,RENT,35000,Not Verified,Dec-18,Current,n,debt_consolidation
12000,12000,12000,36 months,0.1356,407.58,C,C1,Insurance agent ,3 years,RENT,50000,Source Verified,Dec-18,Current,n,debt_consolidation
5000,5000,5000,36 months,0.1180,165.6,B,B4,,n/a,RENT,30000,Not Verified,Dec-18,Current,n,credit_card
6000,6000,6000,36 months,0.0702,185.32,A,A2,Financial Analyst,3 years,MORTGAGE,60000,Not Verified,Dec-18,Current,n,debt_consolidation
19000,19000,19000,36 months,0.0702,586.84,A,A2,Customer service maanger,8 years,MORTGAGE,40000,Source Verified,Dec-18,Current,n,debt_consolidation
9000,9000,9000,36 months,0.1298,303.16,B,B5,dealer,3 years,RENT,48000,Not Verified,Dec-18,Current,n,credit_card
14000,14000,14000,36 months,0.1298,471.59,B,B5,IT Manager,6 years,RENT,70000,Not Verified,Dec-18,Current,n,debt_consolidation
15000,15000,15000,60 months,0.1072,324.05,B,B2,COO,4 years,MORTGAGE,120000,Not Verified,Dec-18,Current,n,debt_consolidation
9500,9500,9500,36 months,0.0881,301.26,A,A5,,< 1 year,RENT,45000,Not Verified,Dec-18,Current,n,credit_card
7500,7500,7500,36 months,0.1992,278.43,D,D3,Clinician ,2 years,RENT,60000,Not Verified,Dec-18,Current,n,debt_consolidation
5000,5000,5000,36 months,0.0756,155.67,A,A3,Client Service Rep,10+ years,MORTGAGE,36000,Not Verified,Dec-18,Current,n,credit_card
5000,5000,5000,36 months,0.0881,158.56,A,A5,loan funding officer,3 years,MORTGAGE,47000,Not Verified,Dec-18,Current,n,debt_consolidation
4400,4400,4400,36 months,0.1298,148.22,B,B5,Detailer,1 year,RENT,45000,Not Verified,Dec-18,Current,n,credit_card
6000,6000,6000,36 months,0.1614,211.36,C,C4,Assist  teacher,10+ years,RENT,50000,Not Verified,Dec-18,Current,n,car
19000,19000,19000,36 months,0.0646,581.99,A,A1,Platoon Sergeant,10+ years,MORTGAGE,80000,Not Verified,Dec-18,Current,n,other
5000,5000,5000,36 months,0.0819,157.13,A,A4,Physical Therapist,2 years,RENT,73000,Not Verified,Dec-18,Current,n,credit_card
10000,10000,9975,60 months,0.1356,230.41,C,C1,Senior Revenue Manager,2 years,RENT,105000,Not Verified,Dec-18,Current,n,credit_card
15000,15000,15000,36 months,0.0881,475.68,A,A5,,n/a,MORTGAGE,76000,Not Verified,Dec-18,Current,n,home_improvement
11200,11200,11200,60 months,0.1298,254.72,B,B5,Vp business banking ,4 years,RENT,125000,Source Verified,Dec-18,Fully Paid,n,credit_card
5000,5000,5000,36 months,0.1447,172.04,C,C2,Overnight team member,2 years,RENT,33000,Not Verified,Dec-18,Current,n,debt_consolidation
8000,8000,8000,36 months,0.1356,271.72,C,C1,Health Ins Specialist ,10+ years,RENT,119000,Not Verified,Dec-18,Current,n,debt_consolidation
3600,3600,3575,36 months,0.0819,113.13,A,A4,Maintence,8 years,MORTGAGE,45000,Not Verified,Dec-18,Current,n,debt_consolidation
22000,22000,22000,36 months,0.0756,684.95,A,A3,Recruiter ,10+ years,MORTGAGE,70000,Not Verified,Dec-18,Current,n,credit_card
32000,32000,32000,60 months,0.1298,727.78,B,B5,Retail Store Manager,< 1 year,RENT,140000,Not Verified,Dec-18,Current,n,house
21600,21600,21600,60 months,0.1072,466.63,B,B2,Business Process Owner - HR,10+ years,MORTGAGE,106000,Not Verified,Dec-18,Current,n,debt_consolidation
32000,32000,32000,60 months,0.0819,651.76,A,A4,,< 1 year,MORTGAGE,50000,Not Verified,Dec-18,Current,n,small_business
40000,40000,40000,60 months,0.1180,885.75,B,B4,Customer support ,10+ years,MORTGAGE,86200,Source Verified,Dec-18,Current,n,debt_consolidation
8000,8000,8000,36 months,0.1180,264.96,B,B4,Remote inpatient coder,3 years,RENT,69000,Not Verified,Dec-18,Current,n,credit_card
15000,15000,14975,60 months,0.1356,345.62,C,C1,Surveyor,< 1 year,MORTGAGE,85000,Not Verified,Dec-18,Current,n,debt_consolidation
35000,35000,35000,36 months,0.1691,1246.28,C,C5,HR Director ,1 year,MORTGAGE,237000,Verified,Dec-18,Current,n,major_purchase
40000,40000,40000,36 months,0.1298,1347.38,B,B5,VP of sales,1 year,MORTGAGE,225000,Not Verified,Dec-18,Current,n,small_business
24000,24000,23975,60 months,0.1180,531.45,B,B4,Professional Learning Specialist,5 years,MORTGAGE,170000,Not Verified,Dec-18,Current,n,debt_consolidation
30000,30000,30000,36 months,0.1072,978.19,B,B2,Principal,10+ years,OWN,96000,Not Verified,Dec-18,Current,n,debt_consolidation
10000,10000,10000,60 months,0.1614,243.93,C,C4,Director,10+ years,RENT,173500,Source Verified,Dec-18,Current,n,other
16500,16500,16500,60 months,0.1180,365.37,B,B4,Operations Manager ,8 years,RENT,50000,Not Verified,Dec-18,Current,n,credit_card
12000,12000,12000,36 months,0.0756,373.61,A,A3,Air Traffic Controller,10+ years,MORTGAGE,94992,Source Verified,Dec-18,Current,n,debt_consolidation
15000,15000,15000,36 months,0.1992,556.85,D,D3,RRT,10+ years,MORTGAGE,82038,Source Verified,Dec-18,Current,n,debt_consolidation
8000,8000,8000,36 months,0.1180,264.96,B,B4,Senior analyst,3 years,RENT,53188,Not Verified,Dec-18,Current,n,debt_consolidation
20000,20000,20000,36 months,0.1131,657.72,B,B3,,< 1 year,MORTGAGE,118000,Not Verified,Dec-18,Current,n,debt_consolidation
11000,11000,11000,36 months,0.1033,356.65,B,B1,,n/a,MORTGAGE,40000,Not Verified,Dec-18,Current,n,credit_card
7500,7500,7475,36 months,0.0881,237.84,A,A5,,n/a,MORTGAGE,89000,Not Verified,Dec-18,Current,n,debt_consolidation
4800,4800,4800,36 months,0.1356,163.03,C,C1,Sales,10+ years,MORTGAGE,77000,Source Verified,Dec-18,Current,n,debt_consolidation
18000,18000,18000,36 months,0.1502,624.16,C,C3,Special Inspector,4 years,RENT,58000,Not Verified,Dec-18,Current,n,debt_consolidation
16000,16000,16000,36 months,0.0756,498.15,A,A3,registered nurse,10+ years,MORTGAGE,79000,Not Verified,Dec-18,Current,n,home_improvement
9000,9000,9000,36 months,0.1072,293.46,B,B2,Tech,10+ years,RENT,54000,Not Verified,Dec-18,Current,n,debt_consolidation
30000,30000,30000,60 months,0.1797,761.32,D,D1,Business Account Execuite ,4 years,RENT,135000,Source Verified,Dec-18,Current,n,other
3500,3500,3500,36 months,0.1894,128.19,D,D2,District Manager,10+ years,MORTGAGE,127300,Verified,Dec-18,Fully Paid,n,small_business
3500,3500,3500,36 months,0.1131,115.11,B,B3,Communications Specialist,1 year,MORTGAGE,60000,Not Verified,Dec-18,Current,n,credit_card
7000,7000,7000,36 months,0.1797,252.97,D,D1,Bus driver ,10+ years,RENT,32000,Not Verified,Dec-18,Current,n,credit_card
5000,5000,5000,36 months,0.1356,169.83,C,C1,Manager,8 years,RENT,99000,Not Verified,Dec-18,Current,n,debt_consolidation
40000,40000,40000,60 months,0.1072,864.13,B,B2,Tax Senior Manager,< 1 year,RENT,180000,Source Verified,Dec-18,Current,n,other
9500,9500,9500,36 months,0.0819,298.53,A,A4,Table Games Dealer ,5 years,RENT,50000,Not Verified,Dec-18,Fully Paid,n,credit_card
12500,12500,12500,36 months,0.0702,386.08,A,A2,Financial Aid Counselor,1 year,RENT,53000,Source Verified,Dec-18,Current,n,debt_consolidation
40000,40000,40000,60 months,0.1180,885.75,B,B4,Towerman ,10+ years,MORTGAGE,200000,Source Verified,Dec-18,Current,n,debt_consolidation
40000,40000,40000,60 months,0.0819,814.7,A,A4,Cyber Security Engineer,1 year,RENT,200400,Not Verified,Dec-18,Current,n,credit_card
7500,7500,7500,36 months,0.0756,233.51,A,A3,WARRANTY MANAGER,5 years,RENT,60000,Not Verified,Dec-18,Current,n,debt_consolidation
22000,22000,22000,36 months,0.0646,673.88,A,A1,BUS DISPATCHER,10+ years,MORTGAGE,145000,Not Verified,Dec-18,Current,n,credit_card
24825,24825,24825,36 months,0.2340,966.16,E,E1,Transportation specilist ,10+ years,MORTGAGE,85000,Verified,Dec-18,Current,n,debt_consolidation
10000,10000,10000,36 months,0.1614,352.27,C,C4,MANAGER,10+ years,MORTGAGE,94000,Source Verified,Dec-18,Current,n,moving
35000,35000,35000,36 months,0.0702,1081.02,A,A2,General Foreman,10+ years,MORTGAGE,133000,Not Verified,Dec-18,Current,n,debt_consolidation
4000,4000,4000,36 months,0.1797,144.55,D,D1,operation supervisor,10+ years,MORTGAGE,90000,Not Verified,Dec-18,Current,n,other
40000,40000,40000,36 months,0.0702,1235.45,A,A2,Care Manager,2 years,MORTGAGE,100000,Not Verified,Dec-18,Current,n,debt_consolidation
16000,16000,16000,60 months,0.1180,354.3,B,B4,Department Manager,10+ years,MORTGAGE,50000,Not Verified,Dec-18,Current,n,debt_consolidation
6000,6000,6000,36 months,0.0646,183.79,A,A1,Education Manager,10+ years,MORTGAGE,54000,Source Verified,Dec-18,Current,n,debt_consolidation
12000,12000,12000,36 months,0.1131,394.63,B,B3,Dir of Education ,1 year,MORTGAGE,120000,Verified,Dec-18,Current,n,credit_card
7400,7400,7400,36 months,0.2631,299.38,E,E4,Occupational Therapist,10+ years,MORTGAGE,50000,Source Verified,Dec-18,Current,n,debt_consolidation
6000,6000,6000,36 months,0.0819,188.55,A,A4,Truck driver ,< 1 year,RENT,50000,Not Verified,Dec-18,Current,n,debt_consolidation
1500,1500,1500,36 months,0.1072,48.91,B,B2,Software Developer,3 years,MORTGAGE,72000,Verified,Dec-18,Fully Paid,n,credit_card
8000,8000,8000,36 months,0.0646,245.05,A,A1,Dir of finance ,3 years,RENT,213000,Not Verified,Dec-18,Current,n,credit_card
15000,15000,15000,60 months,0.1180,332.16,B,B4,supervisor,10+ years,MORTGAGE,70000,Not Verified,Dec-18,Current,n,debt_consolidation
40000,40000,40000,60 months,0.1180,885.75,B,B4,Pastor,10+ years,MORTGAGE,86000,Source Verified,Dec-18,Current,n,home_improvement
17000,17000,17000,36 months,0.0646,520.73,A,A1,Assistant Professor,5 years,MORTGAGE,140000,Not Verified,Dec-18,Current,n,credit_card
20000,20000,20000,60 months,0.1691,496.09,C,C5,Nurse ,1 year,MORTGAGE,250000,Not Verified,Dec-18,Current,n,credit_card
10000,10000,10000,36 months,0.1614,352.27,C,C4,,n/a,OWN,65000,Verified,Dec-18,Current,n,debt_consolidation
12000,12000,12000,36 months,0.2089,451.43,D,D4,Technical Specialist,< 1 year,RENT,65000,Not Verified,Dec-18,Current,n,debt_consolidation
25000,25000,25000,60 months,0.0819,509.19,A,A4,Teachet,2 years,MORTGAGE,75000,Source Verified,Dec-18,Current,n,debt_consolidation
15500,15500,15500,36 months,0.1033,502.55,B,B1,R&I Technical Leader,3 years,MORTGAGE,185000,Source Verified,Dec-18,Current,n,debt_consolidation
6000,6000,6000,36 months,0.1691,213.65,C,C5,Truck Driver,10+ years,RENT,63500,Source Verified,Dec-18,Current,n,house
10000,10000,9975,60 months,0.1992,264.5,D,D3,Renter,2 years,RENT,60000,Source Verified,Dec-18,Current,n,debt_consolidation
25000,25000,25000,36 months,0.0702,772.16,A,A2,,3 years,RENT,43500,Verified,Dec-18,Current,n,debt_consolidation
40000,40000,40000,60 months,0.0819,814.7,A,A4,,< 1 year,MORTGAGE,250000,Not Verified,Dec-18,Current,n,debt_consolidation
10000,10000,10000,36 months,0.1894,366.26,D,D2,PRO-Services,< 1 year,OWN,30000,Source Verified,Dec-18,Current,n,credit_card
15500,15500,15500,36 months,0.0646,474.78,A,A1,Construction and maintenance Specialist ,10+ years,RENT,62000,Source Verified,Dec-18,Current,n,debt_consolidation
20000,20000,20000,60 months,0.1072,432.07,B,B2,Delivery driver ,10+ years,MORTGAGE,65000,Source Verified,Dec-18,Current,n,debt_consolidation
17000,17000,17000,60 months,0.1180,376.44,B,B4,Terminal operator,< 1 year,RENT,50000,Not Verified,Dec-18,Current,n,debt_consolidation
15000,15000,15000,36 months,0.1131,493.29,B,B3,Employment Program Representative,10+ years,MORTGAGE,57870,Not Verified,Dec-18,Current,n,credit_card
15000,15000,15000,36 months,0.0646,459.47,A,A1,,n/a,RENT,30000,Not Verified,Dec-18,Current,n,debt_consolidation
7800,7800,7800,36 months,0.0819,245.11,A,A4,Field Service Tech,3 years,MORTGAGE,40000,Not Verified,Dec-18,Current,n,debt_consolidation
2400,2400,2125,36 months,0.1072,78.26,B,B2,Designer,1 year,RENT,71000,Not Verified,Dec-18,Current,n,credit_card
6000,6000,6000,36 months,0.0646,183.79,A,A1,Director of operations,5 years,OWN,100000,Not Verified,Dec-18,Current,n,credit_card
20000,20000,20000,36 months,0.0646,612.62,A,A1,IT Operations Analyst,< 1 year,MORTGAGE,80000,Verified,Dec-18,Current,n,debt_consolidation
15000,15000,15000,36 months,0.1033,486.34,B,B1,,n/a,RENT,21264,Source Verified,Dec-18,Current,n,debt_consolidation
15000,15000,15000,36 months,0.1180,496.79,B,B4,massage therapist,1 year,RENT,35000,Source Verified,Dec-18,Current,n,debt_consolidation
4000,4000,4000,36 months,0.1614,140.91,C,C4,Pricing/Inventory Team Leader,10+ years,RENT,45000,Source Verified,Dec-18,Current,n,debt_consolidation
25000,25000,25000,60 months,0.1502,595.02,C,C3,Site Manager,2 years,MORTGAGE,130000,Verified,Dec-18,Current,n,debt_consolidation
12000,12000,12000,36 months,0.1614,422.72,C,C4,,< 1 year,MORTGAGE,85000,Not Verified,Dec-18,Current,n,debt_consolidation
6000,6000,6000,36 months,0.1691,213.65,C,C5,,7 years,OWN,22000,Verified,Dec-18,Current,n,other
11000,11000,11000,36 months,0.1691,391.69,C,C5,Property Manager,5 years,RENT,56000,Verified,Dec-18,Current,n,credit_card
6025,6025,6025,36 months,0.1180,199.55,B,B4,manager,10+ years,MORTGAGE,80000,Not Verified,Dec-18,Current,n,debt_consolidation
40000,40000,40000,36 months,0.1033,1296.9,B,B1,sales manager,10+ years,MORTGAGE,120000,Source Verified,Dec-18,Current,n,credit_card
18000,18000,18000,36 months,0.1072,586.92,B,B2,Director of IT,10+ years,MORTGAGE,141000,Not Verified,Dec-18,Current,n,credit_card
24000,24000,24000,60 months,0.1180,531.45,B,B4,Lead analyst,2 years,RENT,115000,Source Verified,Dec-18,Current,n,credit_card
15000,15000,15000,60 months,0.1502,357.01,C,C3,Lobby Supervisor ,6 years,MORTGAGE,50880,Source Verified,Dec-18,Current,n,debt_consolidation
27000,27000,27000,60 months,0.1502,642.62,C,C3,Managing Partner,6 years,RENT,77000,Source Verified,Dec-18,Current,n,credit_card
20000,20000,20000,60 months,0.1072,432.07,B,B2,Machine operator 3,6 years,MORTGAGE,35000,Not Verified,Dec-18,Current,n,debt_consolidation
8500,8500,8500,36 months,0.1614,299.43,C,C4,Supervisor,10+ years,MORTGAGE,80000,Not Verified,Dec-18,Current,n,debt_consolidation
16000,16000,16000,36 months,0.0702,494.18,A,A2,Bus operator ,2 years,MORTGAGE,125750,Source Verified,Dec-18,Current,n,credit_card
20000,20000,20000,60 months,0.1614,487.86,C,C4,Merge operator,8 years,MORTGAGE,62000,Source Verified,Dec-18,Current,n,credit_card
20000,20000,20000,36 months,0.0646,612.62,A,A1,Client success manager,2 years,MORTGAGE,85000,Not Verified,Dec-18,Current,n,debt_consolidation
5000,5000,5000,36 months,0.1614,176.14,C,C4,Bather/Stocker,2 years,RENT,15000,Source Verified,Dec-18,Current,n,debt_consolidation
15000,15000,15000,36 months,0.1894,549.39,D,D2,Senior underwriting assistant,4 years,RENT,56000,Source Verified,Dec-18,Current,n,credit_card
31000,31000,31000,60 months,0.1447,728.9,C,C2,Sales and Operations Manager,< 1 year,RENT,75000,Not Verified,Dec-18,Current,n,debt_consolidation
4000,4000,4000,36 months,0.1502,138.71,C,C3,Community service coach ,< 1 year,RENT,22000,Not Verified,Dec-18,Current,n,credit_card
18000,18000,18000,36 months,0.1614,634.08,C,C4,security officer,6 years,MORTGAGE,38211,Not Verified,Dec-18,Current,n,credit_card
40000,40000,40000,36 months,0.1072,1304.26,B,B2,Director,3 years,OWN,170000,Source Verified,Dec-18,Current,n,debt_consolidation
10000,10000,10000,36 months,0.1797,361.38,D,D1,Owner/operator ,6 years,RENT,96000,Not Verified,Dec-18,Current,n,other
40000,40000,40000,36 months,0.0702,1235.45,A,A2,,n/a,RENT,113000,Not Verified,Dec-18,Current,n,debt_consolidation
20000,20000,20000,60 months,0.1033,428.2,B,B1,Branch Chief,10+ years,MORTGAGE,127000,Source Verified,Dec-18,Current,n,credit_card
30000,30000,30000,60 months,0.1447,705.38,C,C2,Child Protective Investigator Supervisor,4 years,MORTGAGE,80000,Source Verified,Dec-18,Current,n,debt_consolidation
20000,20000,20000,60 months,0.1298,454.86,B,B5,Store Manager,10+ years,MORTGAGE,70000,Source Verified,Dec-18,Current,n,debt_consolidation
10000,10000,10000,36 months,0.0819,314.25,A,A4,Group Housing Coordinator & Sales,10+ years,RENT,45000,Not Verified,Dec-18,Current,n,debt_consolidation
10000,10000,10000,36 months,0.1614,352.27,C,C4,IT support specialist,4 years,RENT,70000,Source Verified,Dec-18,Current,n,debt_consolidation
11200,11200,11200,36 months,0.0756,348.7,A,A3,Branch Manager,10+ years,MORTGAGE,70000,Not Verified,Dec-18,Current,n,credit_card
1900,1900,1875,36 months,0.0702,58.69,A,A2,Facilitator,10+ years,RENT,50000,Not Verified,Dec-18,Current,n,credit_card
16200,16200,16200,60 months,0.1502,385.57,C,C3,MTSS Coordinator ,1 year,MORTGAGE,250000,Source Verified,Dec-18,Current,n,credit_card
15000,15000,15000,60 months,0.1180,332.16,B,B4,logistics manager,4 years,RENT,48000,Source Verified,Dec-18,Current,n,debt_consolidation
25000,25000,25000,36 months,0.0646,765.77,A,A1,General Manager,2 years,MORTGAGE,120000,Not Verified,Dec-18,Current,n,credit_card
4300,4300,4300,36 months,0.0702,132.82,A,A2,Machinist,10+ years,RENT,80000,Verified,Dec-18,Current,n,other
5400,5400,5400,36 months,0.0756,168.13,A,A3,,n/a,OWN,92000,Not Verified,Dec-18,Current,n,credit_card
12000,12000,12000,60 months,0.1131,262.77,B,B3,Senior Commodity Manager,7 years,RENT,180000,Source Verified,Dec-18,Current,n,credit_card
5500,5500,5500,36 months,0.0646,168.47,A,A1,Production Worker ,< 1 year,RENT,25000,Not Verified,Dec-18,Current,n,credit_card
40000,40000,40000,36 months,0.1131,1315.43,B,B3,"Regional, Director of Operations",10+ years,MORTGAGE,550000,Verified,Dec-18,Current,n,house
17000,17000,17000,60 months,0.1180,376.44,B,B4,Upholster ,< 1 year,MORTGAGE,60000,Not Verified,Dec-18,Current,n,credit_card
5600,5600,5600,36 months,0.1033,181.57,B,B1,Retail Account Mgr,7 years,RENT,122000,Source Verified,Dec-18,Current,n,credit_card
36000,36000,36000,36 months,0.1072,1173.83,B,B2,TECHNOLOGY CONSULTANT,2 years,MORTGAGE,142000,Source Verified,Dec-18,Current,n,credit_card
